index,route,access,implementation
"1","/api/health","public","documented-contract"
"2","/api/ready","public","documented-contract"
"3","/api/v1/config","public","documented-contract"
"4","/api/v1/auth/status","public","documented-contract"
"5","/api/v1/auth/register","public","documented-contract"
"6","/api/v1/auth/recovery/request","public","documented-contract"
"7","/api/v1/auth/recovery/status","public","documented-contract"
"8","/api/v1/auth/recovery/reset","public","documented-contract"
"9","/api/v1/auth/login","public","documented-contract"
"10","/api/v1/auth/logout","authenticated-or-policy-dependent","documented-contract"
"11","/api/v1/auth/refresh","authenticated-or-policy-dependent","documented-contract"
"12","/api/v1/auth/mfa/status","authenticated-or-policy-dependent","documented-contract"
"13","/api/v1/auth/mfa/enroll","authenticated-or-policy-dependent","documented-contract"
"14","/api/v1/auth/mfa/confirm","authenticated-or-policy-dependent","documented-contract"
"15","/api/v1/auth/mfa/disable","authenticated-or-policy-dependent","documented-contract"
"16","/api/v1/auth/mfa/recovery/consume","authenticated-or-policy-dependent","documented-contract"
"17","/api/v1/auth/mfa/recovery/regenerate","authenticated-or-policy-dependent","documented-contract"
"18","/api/v1/auth/passkeys","authenticated-or-policy-dependent","documented-contract"
"19","/api/v1/auth/passkeys/register/options","authenticated-or-policy-dependent","documented-contract"
"20","/api/v1/auth/passkeys/register/verify","authenticated-or-policy-dependent","documented-contract"
"21","/api/v1/auth/passkeys/authenticate/options","public","documented-contract"
"22","/api/v1/auth/passkeys/authenticate/verify","public","documented-contract"
"23","/api/v1/auth/passkeys/:id","authenticated-or-policy-dependent","documented-contract"
"24","/api/v1/secure-imports","authenticated-or-policy-dependent","documented-contract"
"25","/api/v1/secure-imports/quarantine","authenticated-or-policy-dependent","documented-contract"
"26","/api/v1/secure-imports/:id/rescan","authenticated-or-policy-dependent","documented-contract"
"27","/api/v1/secure-imports/:id/quarantine","authenticated-or-policy-dependent","documented-contract"
"28","/api/v1/secure-imports/:id/download","authenticated-or-policy-dependent","documented-contract"
"29","/api/v1/secure-imports/:id","authenticated-or-policy-dependent","documented-contract"
"30","/api/v1/storage/status","authenticated-or-policy-dependent","documented-contract"
"31","/api/v1/delivery/providers","authenticated-or-policy-dependent","documented-contract"
"32","/api/v1/delivery-attempts","authenticated-or-policy-dependent","documented-contract"
"33","/api/v1/jobs/delivery","authenticated-or-policy-dependent","documented-contract"
"34","/api/v1/production-foundation/status","public","documented-contract"
"35","/api/v1/platform/readiness","authenticated-or-policy-dependent","documented-contract"
"36","/api/v1/security/secret-protection/status","authenticated-or-policy-dependent","documented-contract"
"37","/api/v1/security/secret-protection/rewrap","authenticated-or-policy-dependent","documented-contract"
"38","/api/v1/platform/assurance","authenticated-or-policy-dependent","documented-contract"
"39","/api/v1/platform/assurance/concurrency","authenticated-or-policy-dependent","documented-contract"
"40","/api/v1/platform/assurance/backup-restore","authenticated-or-policy-dependent","documented-contract"
"41","/api/v1/platform/assurance/delivery-sandbox","authenticated-or-policy-dependent","documented-contract"
"42","/api/v1/platform/staging-manifest","authenticated-or-policy-dependent","documented-contract"
"43","/api/v1/jobs","authenticated-or-policy-dependent","documented-contract"
"44","/api/v1/jobs/:id","authenticated-or-policy-dependent","documented-contract"
"45","/api/v1/jobs/notifications","authenticated-or-policy-dependent","documented-contract"
"46","/api/v1/production-notifications","authenticated-or-policy-dependent","documented-contract"
"47","/api/v1/live-markets/catalog","authenticated-or-policy-dependent","documented-contract"
"48","/api/v1/live-markets/status","authenticated-or-policy-dependent","documented-contract"
"49","/api/v1/live-markets/candles","authenticated-or-policy-dependent","documented-contract"
"50","/api/v1/live-markets/ticker","authenticated-or-policy-dependent","documented-contract"
"51","/api/v1/session/context","authenticated-or-policy-dependent","documented-contract"
"52","/api/v1/workspaces","authenticated-or-policy-dependent","documented-contract"
"53","/api/v1/sessions","authenticated-or-policy-dependent","documented-contract"
"54","/api/v1/devices","authenticated-or-policy-dependent","documented-contract"
"55","/api/v1/auth/step-up/simulate","authenticated-or-policy-dependent","documented-contract"
"56","/api/v1/access/evaluate","authenticated-or-policy-dependent","documented-contract"
"57","/api/v1/privacy/consents","authenticated-or-policy-dependent","documented-contract"
"58","/api/v1/privacy/data-inventory","authenticated-or-policy-dependent","documented-contract"
"59","/api/v1/public/providers","public","documented-contract"
"60","/api/v1/public/markets/overview","public","documented-contract"
"61","/api/v1/public/markets/assets","public","documented-contract"
"62","/api/v1/public/markets/assets/:id","public","documented-contract"
"63","/api/v1/public/markets/assets/:id/candles","public","documented-contract"
"64","/api/v1/calculations/metadata","public","documented-contract"
"65","/api/v1/calculations/formulas","public","documented-contract"
"66","/api/v1/calculations/formulas/:id","public","documented-contract"
"67","/api/v1/calculations/run","public","documented-contract"
"68","/api/v1/calculations/batch","public","documented-contract"
"69","/api/v1/calculations/saved","authenticated-or-policy-dependent","documented-contract"
"70","/api/v1/calculations/saved/:id","authenticated-or-policy-dependent","documented-contract"
"71","/api/v1/calculations/saved/:id/revisions","authenticated-or-policy-dependent","documented-contract"
"72","/api/v1/calculations/saved/:id/duplicate","authenticated-or-policy-dependent","documented-contract"
"73","/api/v1/calculations/saved/:id/restore","authenticated-or-policy-dependent","documented-contract"
"74","/api/v1/indicators","public","documented-contract"
"75","/api/v1/indicators/:id","public","documented-contract"
"76","/api/v1/indicators/run","public","documented-contract"
"77","/api/v1/india/rules","public","documented-contract"
"78","/api/v1/india/charges","public","documented-contract"
"79","/api/v1/evidence/graphs","authenticated-or-policy-dependent","documented-contract"
"80","/api/v1/evidence/explain-move","authenticated-or-policy-dependent","documented-contract"
"81","/api/v1/evidence/graphs/:id","authenticated-or-policy-dependent","documented-contract"
"82","/api/v1/evidence/graphs/:id/traverse","authenticated-or-policy-dependent","documented-contract"
"83","/api/v1/evidence/graphs/:id/export","authenticated-or-policy-dependent","documented-contract"
"84","/api/v1/market/overview","authenticated-or-policy-dependent","documented-contract"
"85","/api/v1/rankings","authenticated-or-policy-dependent","documented-contract"
"86","/api/v1/search","public","documented-contract"
"87","/api/v1/search/suggestions","authenticated-or-policy-dependent","documented-contract"
"88","/api/v1/assets/:id","authenticated-or-policy-dependent","documented-contract"
"89","/api/v1/watchlist","authenticated-or-policy-dependent","documented-contract"
"90","/api/v1/discovery/overview","authenticated-or-policy-dependent","documented-contract"
"91","/api/v1/discovery/rankings","authenticated-or-policy-dependent","documented-contract"
"92","/api/v1/discovery/categories","public","documented-contract"
"93","/api/v1/discovery/categories/:id","authenticated-or-policy-dependent","documented-contract"
"94","/api/v1/discovery/venues","public","documented-contract"
"95","/api/v1/discovery/venues/:id","authenticated-or-policy-dependent","documented-contract"
"96","/api/v1/discovery/dex","public","documented-contract"
"97","/api/v1/discovery/dex/:id","authenticated-or-policy-dependent","documented-contract"
"98","/api/v1/discovery/global-charts","public","documented-contract"
"99","/api/v1/discovery/prediction-markets","authenticated-or-policy-dependent","documented-contract"
"100","/api/v1/discovery/converter","public","documented-contract"
"101","/api/v1/discovery/asset-intelligence","public","documented-contract"
"102","/api/v1/discovery/advanced-chart","public","documented-contract"
"103","/api/v1/discovery/fundamentals-estimates","public","documented-contract"
"104","/api/v1/discovery/news","authenticated-or-policy-dependent","documented-contract"
"105","/api/v1/discovery/research","authenticated-or-policy-dependent","documented-contract"
"106","/api/v1/discovery/research/:id","authenticated-or-policy-dependent","documented-contract"
"107","/api/v1/discovery/methodologies","authenticated-or-policy-dependent","documented-contract"
"108","/api/v1/discovery/methodologies/:id","authenticated-or-policy-dependent","documented-contract"
"109","/api/v1/discovery/coverage","authenticated-or-policy-dependent","documented-contract"
"110","/api/v1/discovery/status","authenticated-or-policy-dependent","documented-contract"
"111","/api/v1/discovery/saved","authenticated-or-policy-dependent","documented-contract"
"112","/api/v1/discovery/saved/searches","authenticated-or-policy-dependent","documented-contract"
"113","/api/v1/discovery/saved/screens","authenticated-or-policy-dependent","documented-contract"
"114","/api/v1/discovery/saved/compare-tray","authenticated-or-policy-dependent","documented-contract"
"115","/api/v1/providers/runtime","authenticated-or-policy-dependent","documented-contract"
"116","/api/v1/providers/execute","authenticated-or-policy-dependent","documented-contract"
"117","/api/v1/providers/:id/execute","authenticated-or-policy-dependent","documented-contract"
"118","/api/v1/providers/:id/diagnostics","authenticated-or-policy-dependent","documented-contract"
"119","/api/v1/entitlements/evaluate","authenticated-or-policy-dependent","documented-contract"
"120","/api/v1/instruments/summary","authenticated-or-policy-dependent","documented-contract"
"121","/api/v1/instruments/search","authenticated-or-policy-dependent","documented-contract"
"122","/api/v1/instruments/resolve","authenticated-or-policy-dependent","documented-contract"
"123","/api/v1/instruments/:id","authenticated-or-policy-dependent","documented-contract"
"124","/api/v1/instruments/:id/relationships","authenticated-or-policy-dependent","documented-contract"
"125","/api/v1/data-quality/incidents","authenticated-or-policy-dependent","documented-contract"
"126","/api/v1/data-quality/overrides","authenticated-or-policy-dependent","documented-contract"
"127","/api/v1/preferences/layout","authenticated-or-policy-dependent","documented-contract"
"128","/api/v1/preferences/layout/inventory","authenticated-or-policy-dependent","documented-contract"
"129","/api/v1/contracts/:name","authenticated-or-policy-dependent","documented-contract"
"130","/api/v1/schemas/coverage","authenticated-or-policy-dependent","documented-contract"
"131","/api/v1/timeseries/summary","authenticated-or-policy-dependent","documented-contract"
"132","/api/v1/timeseries/query","authenticated-or-policy-dependent","documented-contract"
"133","/api/v1/timeseries/:id","authenticated-or-policy-dependent","documented-contract"
"134","/api/v1/timeseries/:id/append","authenticated-or-policy-dependent","documented-contract"
"135","/api/v1/streams/catalog","authenticated-or-policy-dependent","documented-contract"
"136","/api/v1/streams/replay","authenticated-or-policy-dependent","documented-contract"
"137","/api/v1/stream/quotes","authenticated-or-policy-dependent","documented-contract"
"138","/api/v1/stream/provider-health","authenticated-or-policy-dependent","documented-contract"
"139","/api/v1/observability/overview","authenticated-or-policy-dependent","documented-contract"
"140","/api/v1/observability/metrics","authenticated-or-policy-dependent","documented-contract"
