id,path,release,status,introducedOrChanged
API001,/api/health,26.0.0,implemented-local,inherited
API002,/api/ready,26.0.0,implemented-local,inherited
API003,/api/v1/config,26.0.0,implemented-local,inherited
API004,/api/v1/auth/status,26.0.0,implemented-local,inherited
API005,/api/v1/auth/register,26.0.0,implemented-local,inherited
API006,/api/v1/auth/recovery/request,26.0.0,implemented-local,A4
API007,/api/v1/auth/recovery/status,26.0.0,implemented-local,A4
API008,/api/v1/auth/recovery/reset,26.0.0,implemented-local,A4
API009,/api/v1/auth/login,26.0.0,implemented-local,inherited
API010,/api/v1/auth/logout,26.0.0,implemented-local,inherited
API011,/api/v1/auth/refresh,26.0.0,implemented-local,inherited
API012,/api/v1/auth/mfa/status,26.0.0,implemented-local,inherited
API013,/api/v1/auth/mfa/enroll,26.0.0,implemented-local,inherited
API014,/api/v1/auth/mfa/confirm,26.0.0,implemented-local,inherited
API015,/api/v1/auth/mfa/disable,26.0.0,implemented-local,inherited
API016,/api/v1/auth/mfa/recovery/consume,26.0.0,implemented-local,inherited
API017,/api/v1/auth/mfa/recovery/regenerate,26.0.0,implemented-local,inherited
API018,/api/v1/auth/passkeys,26.0.0,implemented-local,inherited
API019,/api/v1/auth/passkeys/register/options,26.0.0,implemented-local,inherited
API020,/api/v1/auth/passkeys/register/verify,26.0.0,implemented-local,inherited
API021,/api/v1/auth/passkeys/authenticate/options,26.0.0,implemented-local,inherited
API022,/api/v1/auth/passkeys/authenticate/verify,26.0.0,implemented-local,inherited
API023,/api/v1/auth/passkeys/:id,26.0.0,implemented-local,inherited
API024,/api/v1/secure-imports,26.0.0,implemented-local,inherited
API025,/api/v1/storage/status,26.0.0,implemented-local,inherited
API026,/api/v1/delivery/providers,26.0.0,implemented-local,inherited
API027,/api/v1/delivery-attempts,26.0.0,implemented-local,inherited
API028,/api/v1/jobs/delivery,26.0.0,implemented-local,inherited
API029,/api/v1/production-foundation/status,26.0.0,implemented-local,inherited
API030,/api/v1/platform/readiness,26.0.0,implemented-local,A4
API031,/api/v1/jobs,26.0.0,implemented-local,inherited
API032,/api/v1/jobs/:id,26.0.0,implemented-local,inherited
API033,/api/v1/jobs/notifications,26.0.0,implemented-local,inherited
API034,/api/v1/production-notifications,26.0.0,implemented-local,inherited
API035,/api/v1/live-markets/catalog,26.0.0,implemented-local,inherited
API036,/api/v1/live-markets/status,26.0.0,implemented-local,inherited
API037,/api/v1/live-markets/candles,26.0.0,implemented-local,inherited
